title,description,published_at,source,url,country,word_count,recent
"""Chorrea hacia abajo"" Mariana Loyola lanza dardo a presidentes que ""auspician la violencia machista""",La actriz chilena Mariana Loyola lanzó sus dardos en contra de los gobiernos que “avalan la violencia machista” y realizan...,2026-04-24 01:31:18+00:00,BioBioChile,https://www.biobiochile.cl/noticias/espectaculos-y-tv/celebridades/2026/04/23/chorrea-hacia-abajo-mariana-loyola-lanza-dardo-a-presidentes-que-auspician-la-violencia-machista.shtml,Nepal,14,False
The Rocky Horror Show review - campy musical returns to Broadway in need of an energy boost,"The 1973 cult favorite is back with a stacked cast, including Juliette Lewis, Luke Evans and Rachel Dratch, but only flashes of genuine fun",2026-04-24 01:31:00+00:00,The Guardian,https://www.theguardian.com/stage/2026/apr/23/the-rocky-horror-show-review-broadway,Nepal,17,False
"Ringgit rises against greenback, major currencies on strong March trade data","KUALA LUMPUR: The ringgit edged higher against the US dollar and other major currencies in early trade on Friday, supported by resilient Malaysia trade data for March.",2026-04-24 01:31:00+00:00,The Star,https://www.thestar.com.my/business/business-news/2026/04/24/ringgit-rises-against-greenback-major-currencies-on-strong-march-trade-data,Nepal,11,False
"Exclusive: Days before FIRs were filed in TCS Nashik case, 2 women complainants had quit BPO","Meanwhile, family members and friends of some of the complainants – there are nine in total – told The Indian Express that some of the women complainants are battling depression, anxiety and social isolation",2026-04-24 01:30:46+00:00,The Indian Express,https://indianexpress.com/article/cities/mumbai/exclusive-days-before-firs-were-filed-in-tcs-nashik-case-2-women-complainants-had-quit-bpo-10652785/,Nepal,16,False
Is Kolkata a city of slums like Amit Shah said? Here's the fact,"West Bengal Assembly Polls: Addressing a rally for the West Bengal election, Home Minister Amit Shah said Kolkata had turned into a city of slums under successive Communist and Trinamool Congress governments. Is it a fact that Kolkata, the capital of West Bengal, is a city of slums? Here's the fact.",2026-04-24 01:30:00+00:00,India Today,https://www.indiatoday.in/elections/assembly/story/west-bengal-assembly-elections-home-minister-amit-shah-bjp-cpm-tmc-kolkata-city-of-slums-2011-census-chennai-mumbai-delhi-2900492-2026-04-24,Nepal,13,False
ученые обнаружили утечку драгоценных металлов через вулканы,"Исследователи выяснили, что золото и рутений просачиваются из ядра Земли на поверхность. Вулканы на Гавайях выносят драгоценные металлы с глубины 3000 км.",2026-04-24 01:30:00+00:00,УНИАН,https://www.unian.net/science/zoloto-uchenye-obnaruzhili-utechku-dragocennyh-metallov-cherez-vulkany-13359516.html,Nepal,7,False
вчені виявили витік дорогоцінних металів через вулкани,"Дослідники з'ясували, що золото та рутеній просочуються з ядра Землі на поверхню. Вулкани на Гаваях підіймають коштовні метали з глибини 3000 км.",2026-04-24 01:30:00+00:00,УНІАН,https://www.unian.ua/science/zoloto-vcheni-viyavili-vitik-dorogocinnih-metaliv-cherez-vulkani-13359519.html,Nepal,7,False
Rams take quarterback Ty Simpson at No. 13,The Rams have drafted Matthew Stafford's successor.,2026-04-24 01:29:50+00:00,NBC Sports,https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/rams-take-quarterback-ty-simpson-at-no-13,Nepal,8,False
"디아블로IV, 확장팩 '증오의 군주' 28일 출시... 시네마틱·밴드 협업 기대감 고조",블리자드 엔터테인먼트는 액션 RPG 디아블로 IV의 차기 확장팩 '증오의 군주'를 28일 오전 8시(한국시간) 출시한다. 이번 확장팩의 핵심 서사를 담은 오프닝 시네마틱은 시리즈 사상 가장 어두운 분위기를 강조한다. 주요 인물 네이렐이 증오의 군주 메피스토와 대면하는,2026-04-24 01:29:41+00:00,전자신문,https://www.etnews.com/20260424000132,Nepal,10,False
"Hormuz Strait: 'होर्मुज में माइन बिछाने वाली ईरानी बोट्स को गोली से उड़ा दो', डोनाल्ड ट्रंप का अमेरिकी नेवी को फरमान",अमेरिकी राष्ट्रपति डोनाल्ड ट्रंप ने होर्मुज स्ट्रेट को लेकर बड़ा आदेश दिया है। उन्होंने अमेरिकी सेना से कहा है कि जलडमरूमध्य में बारूदी सुरंग बिछाने वाली छोटी ईरानी नावों को शूट करके मार दिया जाए।,2026-04-24 01:29:32+00:00,Navbharat Times,https://navbharattimes.indiatimes.com/world/america/trump-ordered-us-navy-ko-shoot-and-kill-iranian-boats-laying-mines-in-hormuz-strait/articleshow/130481276.cms,India,21,False
விஜய் வருகையால் வாக்குச்சாவடியில் தள்ளுமுள்ளு: 45 நிமிடம் காத்திருந்த வாக்காளர்கள்,விஜய் வரு​கை​யால் நீலாங்​கரை வாக்​குச்​சாவடி​யில் தள்​ளு​முள்ளு ஏற்​பட்​டது. கூட்ட நெரிசலுக்கு இடையே பலத்த போலீஸ் பாது​காப்​புடன் அவர் தனது வாக்​கைப் பதிவு செய்​தார்.,2026-04-24 01:23:17+00:00,Hindu Tamil Thisai,https://www.hindutamil.in/news/tamilnadu/scuffle-at-polling-booth-following-arrival-of-tvk-leader-vijay,India,8,False
ईरान परमाणु बम बनाने के कितना क़रीब पहुंच चुका है?,यूरेनियम को किस तरह संवर्धित किया जाता है. न्यूक्लियर रिएक्टर में और परमाणु बम बनाने में इस्तेमाल होने वाले यूरेनियम में क्या फर्क होता है?,2026-04-24 01:23:09+00:00,BBC,https://www.bbc.com/hindi/articles/clyr0nmg25go,India,10,False
"दूसरे फेज में भी बाहर मत आना, वरना उल्टा लटकाकर सीधा कर दूंगा; अमित शाह ने किसे दी धमकी","मध्यमग्राम में चुनाव के दूसरे चरण में 29 अप्रैल को मतदान होगा। मतगणना चार मई को होगी। शाह ने रोडशो के दौरान पत्रकारों से कहा कि भाजपा के सत्ता में आने के बाद पश्चिम बंगाल में एक भी घुसपैठिए को नहीं घुसने दिया जायेगा।, West-bengal Hindi News - Hindustan",2026-04-24 01:19:06+00:00,Hindustan Hindi News,https://www.livehindustan.com/west-bengal/amit-shah-excited-with-first-phase-voting-percentage-in-bengal-elections-warn-tmc-goons-201776993269491.html,India,19,False
